registration,price,mileage,model_year,version,color,fuel_type,drive_wheels,electric_type,transmission,engine_power,engine_name,body_type,location,url,scrape_date
DLM64X,419900,111060,2022,Recharge T8 AWD Inscription | Navi | B&W | Pano | 360°,Blå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,456 hk,,,ARÖD,https://www.bilia.se/bilar/sok-bil/volvo/xc60/dlm64x/,2026-01-13
RAB82N,399900,102060,2023,,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,SISJÖN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/rab82n/,2026-01-13
YFM61D,359000,149500,2021,Recharge T6 R-Design T,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,340 hk,,,HANINGE,https://www.bilia.se/bilar/sok-bil/volvo/xc60/yfm61d/,2026-01-13
CGG75J,434000,94350,2022,Recharge T6 II Inscription/Kamera/Sensorer/VOC,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,BILIA HAGA NORRA VOLVO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/cgg75j/,2026-01-13
FRP36F,699900,0,2025,,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,HANINGE,https://www.bilia.se/bilar/sok-bil/volvo/xc60/frp36f/,2026-01-13
DJM85L,379500,155670,2021,Recharge T6 R-Design,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,340 hk,,,LUND,https://www.bilia.se/bilar/sok-bil/volvo/xc60/djm85l/,2026-01-13
RAH04K,389900,85760,2023,B5 AWD Bensin Core | Klimatpaket |,Grå,Bensin,Fyrhjulsdrift,,Automat,250 hk,,,VÄSTERÅS,https://www.bilia.se/bilar/sok-bil/volvo/xc60/rah04k/,2026-01-13
KPU26W,395000,99920,2023,Recharge T6 Core Edition,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,SEGELTORP,https://www.bilia.se/bilar/sok-bil/volvo/xc60/kpu26w/,2026-01-13
FEW18P,589900,4090,2026,T6 Plus Bright Nordic Edition,Silver,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,TÄBY,https://www.bilia.se/bilar/sok-bil/volvo/xc60/few18p/,2026-01-13
LLA107,159900,174740,2015,,Brun,Diesel,Fyrhjulsdrift,,Manuell,181 hk,,,SISJÖN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/lla107/,2026-01-13
JZP52P,509500,30230,2025,T6 Core Special Edition,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,JÄGERSRO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/jzp52p/,2026-01-13
