registration,price,mileage,model_year,version,color,fuel_type,drive_wheels,electric_type,transmission,engine_power,body_type,location,url,scrape_date
RWR66A,409900,89160,2023,XC60 Recharge T6 Core Edition,Denim Blue Metallic 723,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,LINDESBERG,https://rejmes.se/bil/volvo-xc60-recharge-t6-core-edition-rwr66a,2026-01-13
NGF52W,319900,112240,2020,XC60 B5 Bensin Mom Advanced SEIII,Osmium Grå Metallic 714,Mildhybrid Bensin,,Mildhybrid,Automat,250,5 dörrar Herrgårdsvagn,NORRKÖPING,https://rejmes.se/bil/volvo-xc60-b5-bensin-mom-advanced-seiii-ngf52w,2026-01-13
OJP06D,454900,55430,2025,XC60 T6 Core Special Edition,Vapour Grey Metallic 740,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,LINKÖPING,https://rejmes.se/bil/volvo-xc60-t6-core-special-edition-ojp06d,2026-01-13
ODO929,509900,67700,2024,XC60 Recharge T6 Plus Dark Edition.,Vapour Grey Metallic 740,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,ÖREBRO,https://rejmes.se/bil/volvo-xc60-recharge-t6-plus-dark-edition-odo929,2026-01-13
YDW006,369900,116810,2023,XC60 Recharge T6 Core Edition,Svart 019,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,NORRKÖPING,https://rejmes.se/bil/volvo-xc60-recharge-t6-core-edition-ydw006,2026-01-13
SZB557,479900,56240,2022,XC60 Recharge T6 II R-Design,Silver Dawn Metallic 735,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,ÖREBRO,https://rejmes.se/bil/volvo-xc60-recharge-t6-ii-r-design-szb557,2026-01-13
XHZ48P,469900,105950,2023,XC60 Recharge T6 Ultimate Dark,Onyx Svart Metallic 717,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,ÖREBRO,https://rejmes.se/bil/volvo-xc60-recharge-t6-ultimate-dark-xhz48p,2026-01-13
BDP12R,467900,53620,2025,XC60 T6 Core Edition,Platinum Grey Metallic731,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,FINSPÅNG,https://rejmes.se/bil/volvo-xc60-t6-core-edition-bdp12r,2026-01-13
MEJ21S,439800,107350,2023,XC60 Recharge T6 Plus Bright,Thunder Grey Metallic 728,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,LINDESBERG,https://rejmes.se/bil/volvo-xc60-recharge-t6-plus-bright-mej21s,2026-01-13
MWA32U,449900,73440,2024,XC60 Recharge T6 Core Edition,Vapour Grey Metallic 740,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,LINKÖPING,https://rejmes.se/bil/volvo-xc60-recharge-t6-core-edition-mwa32u,2026-01-13
PZZ711,174800,205140,2016,XC60 D4 AWD Summum Business E,Flamenco röd Metallic 702,Diesel,Fyrhjulsdrift,,Automat,190,5 dörrar Herrgårdsvagn,FINSPÅNG,https://rejmes.se/bil/volvo-xc60-d4-awd-summum-business-e-pzz711,2026-01-13
JBF54K,489900,15350,2025,XC60 T6 Core Nordic Edition,Silver Dawn Metallic 735,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,LINKÖPING,https://rejmes.se/bil/volvo-xc60-t6-core-nordic-edition-jbf54k,2026-01-13
MHK48M,479900,36670,2025,XC60 T6 Core Special Edition,Vapour Grey Metallic 740,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,LINKÖPING,https://rejmes.se/bil/volvo-xc60-t6-core-special-edition-mhk48m,2026-01-13
FCP12D,589900,27000,2025,XC60 T6 Ultra Bright,Silver Dawn Metallic 735,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,LINKÖPING,https://rejmes.se/bil/volvo-xc60-t6-ultra-bright-fcp12d,2026-01-13
UJA94Z,469900,22070,2025,XC60 T6 Core Special Edition,Silver Dawn Metallic 735,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,LINKÖPING,https://rejmes.se/bil/volvo-xc60-t6-core-special-edition-uja94z,2026-01-13
