Reg. Nr,Actual Price,Predicted Price,Discount %,Discount SEK,Year,Mileage (km),HP,Engine,Fuel,Drive,Model Variant
LYR91C,439900,457610,3.9,16530,2023,66490,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition (SELEKT) PANORAMA DRAG
UYL89T,449900,467808,3.8,19139,2024,84270,349.0,T6,Plugin Hybrid,AWD,Recharge T6 II Core Edition
RKG29A,419900,436546,3.8,15901,2023,86860,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Bright
ZYE52G,459500,477452,3.8,13122,2023,50990,350.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Bright
WDJ00R,454000,471255,3.7,16707,2023,53120,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition/ Panorama/ Navi/ Kamera
RCD12C,619000,642369,3.6,29524,2026,5810,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Nordic Edition
RCD71N,626900,650287,3.6,27457,2026,0,350.0,T6,Plugin Hybrid,AWD,"Ny T6 Plus Dark Nordic Edition, Lagerbil snabb leverans!"
BEY12T,626900,650287,3.6,27457,2026,0,350.0,T6,Plugin Hybrid,AWD,Ny T6 Plus Bright Nordic Edition
SHY41A,626900,650287,3.6,27457,2026,0,350.0,T6,Plugin Hybrid,AWD,Ny T6 Plus Dark Nordic Edition
TRB16M,626900,650287,3.6,27457,2026,0,350.0,T6,Plugin Hybrid,AWD,Ny T6 Plus Dark Nordic Edition
KMW01Z,626900,650287,3.6,27457,2026,0,350.0,T6,Plugin Hybrid,AWD,Ny T6 Plus Dark Nordic Edition
KJS80Z,626900,650287,3.6,27457,2026,0,350.0,T6,Plugin Hybrid,AWD,Ny T6 Plus Dark Nordic Edition
PTB85W,339800,352457,3.6,3717,2021,134260,341.0,T6,Plugin Hybrid,AWD,Recharge T6 Inscription T
ZNR03H,626900,650236,3.6,27433,2026,10,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Nordic Edition
RDG66C,424900,440644,3.6,14796,2023,82910,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition (SELEKT)
WMT10R,499900,518216,3.5,25681,2023,78590,455.0,T8,Plugin Hybrid,AWD,"Recharge T8 Plus Dark, Taklucka, on call, Navigation"
OOP02T,299900,310836,3.5,-2344,2020,112450,250.0,B5,Mild Hybrid,FWD,B5 Bensin Mom Advanced SEIII
JBJ84N,614500,636842,3.5,27902,2026,10750,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Nordic Edition DEMOBIL
ELJ967,215000,222707,3.5,17480,2016,147670,220.0,D5,Diesel,AWD,D5 AWD Ocean Race Business E PRO *SE SPEC*
UHF17A,339000,351123,3.5,7841,2020,110050,197.0,B4,Mild Hybrid,AWD,B4 AWD Diesel Momentum Advanced Edt
ABX93D,489900,507268,3.4,22577,2022,68310,391.0,T8,Plugin Hybrid,AWD,Recharge T8 R-Design Pro Edition
